exchange,quote_ccy,mean_hl_spread_bps,total_volume_usd,regime
binance,USDC,1.9882836442067928,35636312.08252779,Pre-SVB
binance,USDT,5.1957272621937145,435830802.05120605,Pre-SVB
coinbase,USD,6.207189633446519,2373206299.86638,Pre-SVB
coinbase,USDT,3.6663549691158925,94735537.76374032,Pre-SVB
kraken,USD,,0.0,Pre-SVB
kraken,USDC,,0.0,Pre-SVB
kraken,USDT,,0.0,Pre-SVB
binance,USDC,10.728074396486962,20376360.57317615,SVB crisis
binance,USDT,11.302560355153116,420677886.58540523,SVB crisis
coinbase,USD,13.742596199086544,2340409057.810054,SVB crisis
coinbase,USDT,8.669222889872534,92046539.2905005,SVB crisis
kraken,USD,,0.0,SVB crisis
kraken,USDC,,0.0,SVB crisis
kraken,USDT,,0.0,SVB crisis
binance,USDC,4.218641336285308,34057951.39842495,Post-SVB
binance,USDT,12.371237865165288,594990449.764816,Post-SVB
coinbase,USD,14.95254292941215,5530221811.431524,Post-SVB
coinbase,USDT,9.254234315406562,252137260.7901432,Post-SVB
kraken,USD,,0.0,Post-SVB
kraken,USDC,,0.0,Post-SVB
kraken,USDT,,0.0,Post-SVB
